="DML Linear Model Estimates"

="",="(1)"
="",="DML"

="RDAT",="0.213***"
="",="(0.014)"

="lnME",="0.038***"
="",="(0.003)"

="RD_missing",="-0.162***"
="",="(0.006)"

="lnAge",="0.055***"
="",="(0.004)"

="lnK2L",="0.010***"
="",="(0.002)"

="TobinQ",="0.001"
="",="(0.002)"

="ROA",="0.010"
="",="(0.016)"

="Leverage",="-0.065***"
="",="(0.013)"

="CASHAT",="0.051***"
="",="(0.018)"

="KZidx",="-0.001**"
="",="(0.000)"

="InstOwn",="0.007"
="",="(0.019)"

="oms_HHidx",="0.262***"
="",="(0.040)"

="oms_HHidx_square",="-0.227***"
="",="(0.036)"

="FirmFE",="yes"
="YearFE",="yes"
="N",="86341.000"
="N_clust",="11544.000"
="k_controls",="11570.000"
="k_controls_sel",="1737.000"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
