="DML Poisson Model Estimates"

="",="(1)"
="",="DML_Poisson"

="RDAT",="2.312***"
="",="(0.120)"

="lnME",="0.895***"
="",="(0.082)"

="RD_missing",="-2.111***"
="",="(0.154)"

="lnAge",="0.563***"
="",="(0.162)"

="lnK2L",="0.080*"
="",="(0.044)"

="TobinQ",="-0.127***"
="",="(0.032)"

="ROA",="1.024***"
="",="(0.300)"

="Leverage",="0.536*"
="",="(0.310)"

="CASHAT",="0.244"
="",="(0.428)"

="KZidx",="0.015*"
="",="(0.008)"

="InstOwn",="-0.888***"
="",="(0.223)"

="oms_HHidx",="0.452"
="",="(1.451)"

="oms_HHidx_square",="-0.702"
="",="(1.295)"

="FirmFE",="yes"
="YearFE",="yes"
="N",="86341.000"
="N_clust",="11544.000"
="k_controls",="11570.000"
="k_controls_sel",="2484.000"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
