="Fixed Effects FE_OLS_adjHT Model Estimates"

="",="(1)",="(2)",="(3)"
="",="FE",="OLS",="adjHT"

="RDAT",="0.041",="0.593***",="0.220***"
="",="(0.028)",="(0.042)",="(0.027)"

="lnME",="0.112***",="0.275***",="0.155***"
="",="(0.007)",="(0.013)",="(0.007)"

="RD_missing",="-0.026*",="-0.539***",="-0.359***"
="",="(0.014)",="(0.020)",="(0.014)"

="lnAge",="0.108***",="0.177***",="0.085***"
="",="(0.019)",="(0.012)",="(0.009)"

="lnK2L",="0.023***",="0.037***",="0.028***"
="",="(0.007)",="(0.007)",="(0.005)"

="TobinQ",="-0.018***",="-0.049***",="-0.026***"
="",="(0.004)",="(0.006)",="(0.003)"

="ROA",="-0.085***",="-0.131***",="-0.130***"
="",="(0.023)",="(0.046)",="(0.022)"

="Leverage",="0.003",="-0.065*",="-0.078***"
="",="(0.025)",="(0.038)",="(0.023)"

="CASHAT",="0.050",="-0.008",="0.149***"
="",="(0.031)",="(0.048)",="(0.027)"

="KZidx",="0.001**",="0.001",="0.001***"
="",="(0.000)",="(0.001)",="(0.000)"

="InstOwn",="-0.052*",="-0.329***",="-0.124***"
="",="(0.030)",="(0.065)",="(0.032)"

="oms_HHidx",="-0.185**",="0.443***",="0.093"
="",="(0.081)",="(0.171)",="(0.082)"

="oms_HHidx_square",="0.171**",="-0.473***",="-0.060"
="",="(0.070)",="(0.143)",="(0.071)"

="1975.fyear",="",="0.000",="0.000"
="",="",="(.)",="(.)"

="1976.fyear",="",="-0.101***",="-0.071***"
="",="",="(0.010)",="(0.009)"

="1977.fyear",="",="-0.143***",="-0.099***"
="",="",="(0.012)",="(0.011)"

="1978.fyear",="",="-0.190***",="-0.130***"
="",="",="(0.013)",="(0.012)"

="1979.fyear",="",="-0.221***",="-0.160***"
="",="",="(0.014)",="(0.013)"

="1980.fyear",="",="-0.226***",="-0.183***"
="",="",="(0.016)",="(0.014)"

="1981.fyear",="",="-0.259***",="-0.221***"
="",="",="(0.016)",="(0.014)"

="1982.fyear",="",="-0.300***",="-0.249***"
="",="",="(0.017)",="(0.015)"

="1983.fyear",="",="-0.348***",="-0.282***"
="",="",="(0.018)",="(0.016)"

="1984.fyear",="",="-0.321***",="-0.269***"
="",="",="(0.018)",="(0.016)"

="1985.fyear",="",="-0.359***",="-0.283***"
="",="",="(0.020)",="(0.017)"

="1986.fyear",="",="-0.352***",="-0.277***"
="",="",="(0.021)",="(0.018)"

="1987.fyear",="",="-0.318***",="-0.259***"
="",="",="(0.021)",="(0.018)"

="1988.fyear",="",="-0.348***",="-0.272***"
="",="",="(0.021)",="(0.018)"

="1989.fyear",="",="-0.350***",="-0.266***"
="",="",="(0.022)",="(0.018)"

="1990.fyear",="",="-0.313***",="-0.238***"
="",="",="(0.023)",="(0.019)"

="1991.fyear",="",="-0.390***",="-0.282***"
="",="",="(0.023)",="(0.020)"

="1992.fyear",="",="-0.424***",="-0.296***"
="",="",="(0.023)",="(0.020)"

="1993.fyear",="",="-0.465***",="-0.316***"
="",="",="(0.023)",="(0.020)"

="1994.fyear",="",="-0.417***",="-0.271***"
="",="",="(0.023)",="(0.020)"

="1995.fyear",="",="-0.498***",="-0.329***"
="",="",="(0.024)",="(0.021)"

="1996.fyear",="",="-0.525***",="-0.342***"
="",="",="(0.024)",="(0.021)"

="1997.fyear",="",="-0.591***",="-0.388***"
="",="",="(0.025)",="(0.022)"

="1998.fyear",="",="-0.564***",="-0.366***"
="",="",="(0.026)",="(0.023)"

="1999.fyear",="",="-0.592***",="-0.383***"
="",="",="(0.027)",="(0.023)"

="2000.fyear",="",="-0.530***",="-0.324***"
="",="",="(0.028)",="(0.024)"

="FirmFE",="yes",="no",="no"
="YearFE",="yes",="yes",="yes"
="N",="84620.000",="86341.000",="86341.000"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
