="Poisson Model Estimates"

="",="(1)",="(2)"
="",="Poisson_FE",="Poisson"

="RDAT",="-0.248",="2.305***"
="",="(0.255)",="(0.187)"

="lnME",="0.331***",="1.054***"
="",="(0.063)",="(0.052)"

="RD_missing",="-0.252*",="-2.081***"
="",="(0.152)",="(0.273)"

="lnAge",="0.745***",="0.335**"
="",="(0.287)",="(0.142)"

="lnK2L",="-0.072",="-0.038"
="",="(0.146)",="(0.061)"

="TobinQ",="0.011",="-0.168***"
="",="(0.018)",="(0.037)"

="ROA",="-0.648*",="0.870**"
="",="(0.359)",="(0.384)"

="Leverage",="0.374",="0.706*"
="",="(0.270)",="(0.416)"

="CASHAT",="0.074",="0.676"
="",="(0.167)",="(0.445)"

="KZidx",="0.009",="0.024**"
="",="(0.008)",="(0.011)"

="InstOwn",="-0.808***",="-1.084***"
="",="(0.245)",="(0.405)"

="oms_HHidx",="-3.489***",="0.842"
="",="(0.985)",="(0.704)"

="oms_HHidx_square",="3.206***",="-1.245*"
="",="(0.953)",="(0.671)"

="1975.fyear",="",="0.000"
="",="",="(.)"

="1976.fyear",="",="-0.210***"
="",="",="(0.030)"

="1977.fyear",="",="-0.179***"
="",="",="(0.040)"

="1978.fyear",="",="-0.241***"
="",="",="(0.048)"

="1979.fyear",="",="-0.336***"
="",="",="(0.067)"

="1980.fyear",="",="-0.223"
="",="",="(0.203)"

="1981.fyear",="",="-0.167"
="",="",="(0.203)"

="1982.fyear",="",="-0.354"
="",="",="(0.222)"

="1983.fyear",="",="-0.516**"
="",="",="(0.229)"

="1984.fyear",="",="-0.493**"
="",="",="(0.230)"

="1985.fyear",="",="-0.661***"
="",="",="(0.248)"

="1986.fyear",="",="-0.755***"
="",="",="(0.246)"

="1987.fyear",="",="-0.704***"
="",="",="(0.247)"

="1988.fyear",="",="-0.689***"
="",="",="(0.250)"

="1989.fyear",="",="-0.698***"
="",="",="(0.256)"

="1990.fyear",="",="-0.612**"
="",="",="(0.280)"

="1991.fyear",="",="-0.712**"
="",="",="(0.295)"

="1992.fyear",="",="-0.759***"
="",="",="(0.290)"

="1993.fyear",="",="-0.799***"
="",="",="(0.290)"

="1994.fyear",="",="-0.621**"
="",="",="(0.317)"

="1995.fyear",="",="-0.747**"
="",="",="(0.335)"

="1996.fyear",="",="-0.660*"
="",="",="(0.345)"

="1997.fyear",="",="-0.704*"
="",="",="(0.366)"

="1998.fyear",="",="-0.636*"
="",="",="(0.384)"

="1999.fyear",="",="-0.564"
="",="",="(0.385)"

="2000.fyear",="",="-0.441"
="",="",="(0.375)"

="FirmFE",="yes",="no"
="YearFE",="yes",="yes"
="N",="84620.000",="86341.000"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
