="PRL Linear Model Estimates"

="",="(1)"
="",="PRL"

="RDAT",="0.199***"
="",="(0.018)"

="lnME",="0.034***"
="",="(0.004)"

="RD_missing",="-0.151***"
="",="(0.009)"

="lnAge",="0.056***"
="",="(0.006)"

="lnK2L",="0.006**"
="",="(0.003)"

="TobinQ",="0.004"
="",="(0.003)"

="ROA",="0.029"
="",="(0.022)"

="Leverage",="-0.055***"
="",="(0.018)"

="CASHAT",="0.075***"
="",="(0.024)"

="KZidx",="0.000"
="",="(0.000)"

="InstOwn",="0.005"
="",="(0.025)"

="oms_HHidx",="0.289***"
="",="(0.055)"

="oms_HHidx_square",="-0.250***"
="",="(0.049)"

="FirmFE",="yes"
="YearFE",="yes"
="N",="86341.000"
="N_clust",="11544.000"
="k_controls",="11570.000"
="k_controls_sel",="1241.000"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
