="PRL Poisson Model Estimates"

="",="(1)"
="",="PRL_Poisson"

="npatent",=""
="RDAT",="2.407***"
="",="(0.161)"

="lnME",="0.937***"
="",="(0.081)"

="RD_missing",="-2.099***"
="",="(0.251)"

="lnAge",="0.469***"
="",="(0.182)"

="lnK2L",="0.062"
="",="(0.044)"

="TobinQ",="-0.161***"
="",="(0.030)"

="ROA",="1.073***"
="",="(0.358)"

="Leverage",="0.595"
="",="(0.433)"

="CASHAT",="0.305"
="",="(0.486)"

="KZidx",="0.015"
="",="(0.011)"

="InstOwn",="-0.905***"
="",="(0.287)"

="oms_HHidx",="1.420"
="",="(1.355)"

="oms_HHidx_square",="-1.582"
="",="(1.190)"

="FirmFE",="yes"
="YearFE",="yes"
="N",="86341.000"
="N_clust",="11544.000"
="k_controls",="11570.000"
="k_controls_sel",="1218.000"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
